"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0,0.500502372530538,344.612280660914,310.881088253733,126744.665892263,0,0,341.87615926716,302.688086240563,301.372947029809
"2",1,10.1639155033817,0,0,0,0,0,0,0,0
"3",2,7.51071126821929,0,0,0,0,0,0,0,0
"4",3,5.37589248363494,0,0,0,0,0,0,0,0
"5",4,27.6312425716245,0,0,0,0,0,0,0,0
"6",5,2.63531603917102,0,0,0,0,0,0,0,0
"7",6,11.2563907036205,0,0,0,0,0,0,0,0
"8",7,7.20394818182343,0,0,0,0,0,0,0,0
"9",8,3.35898214520232,0,0,0,0,0,0,0,0
"10",9,32.9583686600433,0,0,0,0,0,0,0,0
"11",10,8.6950174381823,0,0,0,0,0,0,0,0
"12",11,3.41818194313577,0,0,0,0,0,0,0,0
"13",12,7.21195740617494,0,0,0,0,0,0,0,0
"14",13,22.339291395421,0,0,0,0,0,0,0,0
"15",14,12.4622513606231,0,0,0,0,0,0,0,0
"16",15,4.53938228489608,0,0,0,0,0,0,0,0
"17",16,13.7526677819763,0,0,0,0,0,0,0,0
"18",17,26.7262296389664,0,0,0,0,0,0,0,0
"19",18,2.591011040781,0,0,0,0,0,0,0,0
"20",19,1.51741572922721,0,0,0,0,0,0,0,0
"21",20,2.07179868006691,0,0,0,0,0,0,0,0
"22",21,1.89881656495613,0,0,0,0,0,0,0,0
"23",22,22.9854660852027,0,0,0,0,0,0,0,0
"24",23,4.41241778706735,0,0,0,0,0,0,0,0
"25",24,0.882636697568925,0,0,0,0,0,0,0,0
"26",26,0.655495819924977,0,0,0,0,0,0,0,0
"27",27,28.9261306752215,0,0,0,0,0,0,0,0
"28",28,0.251495045271714,0,0,0,0,0,0,0,0
"29",29,0.215304262004803,0,0,0,0,0,0,0,0
"30",30,10.6258380689972,0,0,0,0,0,0,0,0
"31",31,2.29055427188361,0,0,0,0,0,0,0,0
"32",32,14.5319157392576,0,0,0,0,0,0,0,0
"33",33,25.3169735173103,0,0,0,0,0,0,0,0
"34",35,1.37461761886422,0,0,0,0,0,0,0,0
"35",36,31.5884989787455,0,0,0,0,0,0,0,0
"36",37,0.692917712909718,0,0,0,0,0,0,0,0
"37",38,0.181312076199674,0,0,0,0,0,0,0,0
"38",39,2.60369319869139,0,0,0,0,0,0,0,0
"39",40,20.0068320998599,0,0,0,0,0,0,0,0
"40",41,31.6853403234537,0,0,0,0,0,0,0,0
"41",43,30.6549275843642,0,0,0,0,0,0,0,0
"42",44,10.2439379783388,0,0,0,0,0,0,0,0
"43",45,13.8482372885038,0,0,0,0,0,0,0,0
"44",46,1.68542512405425,0,0,0,0,0,0,0,0
"45",47,5.87983878861302,0,0,0,0,0,0,0,0
"46",48,14.869164193152,0,0,0,0,0,0,0,0
"47",49,2.14073459859292,0,0,0,0,0,0,0,0
"48",51,6.53334440034385,0,0,0,0,0,0,0,0
"49",53,19.5035507502368,0,0,0,0,0,0,0,0
"50",54,1.61987339244961,0,0,0,0,0,0,0,0
"51",55,7.41945793471264,0,0,0,0,0,0,0,0
"52",56,29.3771690852714,0,0,0,0,0,0,0,0
"53",57,8.54462511027592,0,0,0,0,0,0,0,0
"54",58,8.20450014218908,0,0,0,0,0,0,0,0
"55",59,3.63970459588649,0,0,0,0,0,0,0,0
"56",60,2.5997622414603,0,0,0,0,0,0,0,0
"57",62,0.843075059488866,0,0,0,0,0,0,0,0
"58",63,4.97207180513906,0,0,0,0,0,0,0,0
"59",64,15.0663586425473,0,0,0,0,0,0,0,0
"60",65,9.65999026425021,0,0,0,0,0,0,0,0
"61",66,30.1058125328552,0,0,0,0,0,0,0,0
"62",67,28.5257357428037,0,0,0,0,0,0,0,0
"63",68,0.795327168896689,0,0,0,0,0,0,0,0
"64",69,6.19908895513381,0,0,0,0,0,0,0,0
"65",70,8.59011321511921,0,0,0,0,0,0,0,0
"66",71,7.5786117384592,0,0,0,0,0,0,0,0
"67",72,9.06264541290792,0,0,0,0,0,0,0,0
"68",73,6.64378973314767,0,0,0,0,0,0,0,0
"69",74,9.62620936490783,0,0,0,0,0,0,0,0
"70",75,0.00623898387908098,0,0,0,0,0,0,0,0
"71",76,9.60137295962305,0,0,0,0,0,0,0,0
"72",77,7.38596185659587,0,0,0,0,0,0,0,0
"73",78,0.173317315922577,0,0,0,0,0,0,0,0
"74",81,2.44105402603252,0,0,0,0,0,0,0,0
"75",82,11.983114109932,0,0,0,0,0,0,0,0
"76",83,27.7605922009572,0,0,0,0,0,0,0,0
"77",84,2.70912904919972,0,0,0,0,0,0,0,0
"78",85,0.374612649775043,0,0,0,0,0,0,0,0
"79",86,2.3285419845677,0,0,0,0,0,0,0,0
"80",87,2.27405593094412,0,0,0,0,0,0,0,0
"81",88,19.4298835302175,0,0,0,0,0,0,0,0
"82",89,1.58771804331008,0,0,0,0,0,0,0,0
