"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",0,0.220357973515673,0.196111655710488,0.221012735478683,0.269270738509026,0,0,0,0,0,0,0,0,0
"2",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",3,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",4,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",5,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",6,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",7,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",8,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",9,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",10,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",11,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",12,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",13,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",14,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",15,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",16,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",17,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",18,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",19,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",20,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",21,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",22,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",23,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",24,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",26,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",27,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",28,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",29,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",30,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",31,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",32,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",33,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",35,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",36,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",37,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",38,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",39,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",40,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",41,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",43,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",44,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",45,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",46,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",47,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",48,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",49,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",51,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",53,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",54,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",55,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",56,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",57,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",58,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",59,0,0,0,0,0,0,0,0,0,0,0,0,0
"56",60,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",62,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",63,0,0,0,0,0,0,0,0,0,0,0,0,0
"59",64,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",65,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",66,0,0,0,0,0,0,0,0,0,0,0,0,0
"62",67,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",68,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",69,0,0,0,0,0,0,0,0,0,0,0,0,0
"65",70,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",71,0,0,0,0,0,0,0,0,0,0,0,0,0
"67",72,0,0,0,0,0,0,0,0,0,0,0,0,0
"68",73,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",74,0,0,0,0,0,0,0,0,0,0,0,0,0
"70",75,0,0,0,0,0,0,0,0,0,0,0,0,0
"71",76,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",77,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",78,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",81,0,0,0,0,0,0,0,0,0,0,0,0,0
"75",82,0,0,0,0,0,0,0,0,0,0,0,0,0
"76",83,0,0,0,0,0,0,0,0,0,0,0,0,0
"77",84,0,0,0,0,0,0,0,0,0,0,0,0,0
"78",85,0,0,0,0,0,0,0,0,0,0,0,0,0
"79",86,0,0,0,0,0,0,0,0,0,0,0,0,0
"80",87,0,0,0,0,0,0,0,0,0,0,0,0,0
"81",88,0,0,0,0,0,0,0,0,0,0,0,0,0
"82",89,0,0,0,0,0,0,0,0,0,0,0,0,0
